time,gyro_x
2.47,0.476
2.48,0.738
2.49,-0.287
2.5,-0.092
2.51,0.08
2.52,0.421
2.53,-0.264
2.54,-0.084
2.55,0.166
2.56,0.075
2.57,-0.133
2.58,-0.078
2.59,-0.394
2.6,-0.115
2.61,-0.127
2.62,-0.008
2.63,-0.209
2.64,0.042
2.65,0.173
2.66,-0.046
2.67,-0.002
2.68,-0.081
2.69,-0.098
2.7,-0.283
2.71,-0.028
2.72,-0.135
2.73,0.409
2.74,0.275
2.75,-0.025
2.76,-0.315
2.77,-0.406
2.78,0.167
2.79,-0.068
2.8,-0.016
2.81,-0.574
2.82,0.092
2.83,-0.028
2.84,-0.421
2.85,-0.263
2.86,-0.081
2.87,-0.135
2.88,-0.222
2.89,-0.175
2.9,-0.213
2.91,-0.112
2.92,0.218
2.93,-0.791
2.94,-0.209
2.95,-0.105
2.96,-0.074
2.97,-0.24
2.98,-0.585
2.99,-0.062
3.0,0.289
3.01,-0.524
3.02,0.077
3.03,-0.219
3.04,-0.149
3.05,-0.395
3.06,-0.212
3.07,0.199
3.08,0.023
3.09,0.314
3.1,0.179
3.11,-0.002
3.12,0.328
3.13,0.006
3.14,0.107
3.15,-0.17
3.16,-0.075
3.17,-0.261
3.18,0.165
3.19,-0.372
3.2,0.123
3.21,-0.115
3.22,0.231
3.23,0.131
3.24,0.403
3.25,0.136
3.26,-0.434
3.27,-0.052
3.28,-0.323
3.29,-0.154
3.3,0.359
3.31,0.146
3.32,-0.182
3.33,-0.255
3.34,0.012
3.35,-0.295
3.36,-0.153
3.37,0.099
3.38,0.315
3.39,0.184
3.4,-0.536
3.41,0.119
3.42,0.066
3.43,0.157
3.44,0.463
3.45,-0.452
3.46,-0.079
3.47,0.222
3.48,-0.317
3.49,0.453
3.5,0.18
3.51,0.304
3.52,-0.046
3.53,0.305
3.54,0.373
3.55,0.168
3.56,0.172
3.57,0.184
3.58,-0.096
3.59,0.087
3.6,0.089
3.61,0.225
3.62,0.382
3.63,-0.13
3.64,0.106
3.65,0.51
3.66,-0.044
3.67,-0.062
3.68,0.195
3.69,0.357
3.7,0.15
3.71,0.481
3.72,0.363
3.73,0.36
3.74,0.288
3.75,0.732
3.76,0.099
3.77,-0.351
3.78,0.55
3.79,0.034
3.8,0.174
3.81,0.474
3.82,-0.256
3.83,-0.17
3.84,-0.259
3.85,-0.059
3.86,0.247
3.87,0.266
3.88,0.201
3.89,-0.224
3.9,-0.451
3.91,0.137
3.92,0.002
3.93,0.232
3.94,0.289
3.95,0.144
3.96,0.295
3.97,0.159
3.98,0.23
3.99,-0.083
4.0,0.043
4.01,0.133
4.02,0.284
4.03,-0.025
4.04,0.199
4.05,-0.003
4.06,0.029
4.07,0.261
4.08,-0.45
4.09,-0.281
4.1,-0.333
4.11,-0.552
4.12,-0.143
4.13,0.208
4.14,-0.056
4.15,0.059
4.16,0.276
4.17,0.33
4.18,-0.025
4.19,0.325
4.2,0.004
4.21,-0.234
4.22,-0.179
4.23,-0.406
4.24,-0.263
4.25,-0.136
4.26,0.149
4.27,0.373
4.28,-0.408
4.29,0.031
4.3,-0.332
4.31,0.042
4.32,-0.115
4.33,-0.544
4.34,0.141
4.35,-0.247
4.36,-0.233
4.37,-0.371
4.38,-0.272
4.39,-0.005
4.4,-0.163
4.41,-0.037
4.42,-0.032
4.43,0.205
4.44,-0.214
4.45,-0.501
4.46,0.133
4.47,-0.219
4.48,0.14
4.49,-0.045
4.5,-0.175
4.51,-0.057
4.52,0.342
4.53,0.372
4.54,-0.131
4.55,-0.109
4.56,0.12
4.57,-0.361
4.58,-0.067
4.59,-0.156
4.6,-0.071
4.61,-0.358
4.62,-0.546
4.63,-0.666
4.64,-0.426
4.65,-0.26
4.66,-0.217
4.67,0.342
4.68,0.136
4.69,-0.379
4.7,-0.049
4.71,-0.235
4.72,-0.202
4.73,-0.081
4.74,0.03
4.75,-0.206
4.76,0.148
4.77,-0.4
4.78,-0.109
4.79,0.543
4.8,-0.047
4.81,0.26
4.82,-0.071
4.83,0.056
4.84,-0.099
4.85,-0.123
4.86,-0.27
4.87,0.037
4.88,-0.278
4.89,0.106
4.9,0.216
4.91,0.042
4.92,-0.116
4.93,0.074
4.94,-0.111
4.95,0.206
4.96,-0.48
4.97,-0.101
4.98,-0.509
4.99,-0.379
5.0,0.341
5.01,1.62
5.02,2.476
5.03,3.282
5.04,3.561
5.05,4.392
5.06,4.918
5.07,3.788
5.08,2.55
5.09,1.557
5.1,-0.335
5.11,-1.404
5.12,-2.555
5.13,-3.591
5.14,-4.007
5.15,-4.333
5.16,-4.028
5.17,-3.723
5.18,-2.326
5.19,-0.885
5.2,-0.14
5.21,1.275
5.22,3.09
5.23,3.707
5.24,4.749
5.25,4.511
5.26,4.768
5.27,3.801
5.28,2.84
5.29,1.915
5.3,0.045
5.31,-1.488
5.32,-2.617
5.33,-3.385
5.34,-4.527
5.35,-4.195
5.36,-4.268
5.37,-3.206
5.38,-3.095
5.39,-1.438
5.4,-0.272
5.41,1.334
5.42,2.857
5.43,3.746
5.44,4.366
5.45,4.609
5.46,4.479
5.47,3.535
5.48,2.967
5.49,1.701
5.5,0.239
5.51,-1.111
5.52,-2.432
5.53,-2.995
5.54,-4.167
5.55,-4.445
5.56,-4.34
5.57,-3.773
5.58,-2.834
5.59,-1.494
5.6,0.098
5.61,1.586
5.62,2.766
5.63,3.553
5.64,4.605
5.65,4.78
5.66,4.331
5.67,3.564
5.68,2.864
5.69,1.515
5.7,-0.29
5.71,-1.34
5.72,-2.517
5.73,-3.809
5.74,-4.181
5.75,-4.817
5.76,-3.905
5.77,-3.293
5.78,-2.678
5.79,-1.275
5.8,-0.584
5.81,1.115
5.82,2.579
5.83,3.374
5.84,4.455
5.85,4.99
5.86,3.971
5.87,3.411
5.88,2.678
5.89,1.762
5.9,-0.343
5.91,-1.371
5.92,-2.238
5.93,-4.107
5.94,-4.659
5.95,-4.67
5.96,-4.479
5.97,-3.511
5.98,-2.663
5.99,-1.918
6.0,0.041
6.01,1.154
6.02,2.867
6.03,3.382
6.04,4.015
6.05,4.526
6.06,4.357
6.07,3.636
6.08,2.103
6.09,1.402
6.1,-0.385
6.11,-1.461
6.12,-3.133
6.13,-3.664
6.14,-4.619
6.15,-4.96
6.16,-4.243
6.17,-3.723
6.18,-2.943
6.19,-1.174
6.2,-0.258
6.21,1.25
6.22,2.563
6.23,3.336
6.24,4.248
6.25,4.217
6.26,4.027
6.27,3.832
6.28,2.236
6.29,0.639
6.3,0.255
6.31,-0.899
6.32,-2.891
6.33,-4.268
6.34,-4.499
6.35,-4.711
6.36,-4.465
6.37,-4.054
6.38,-2.632
6.39,-1.389
6.4,-0.5
6.41,1.442
6.42,3.038
6.43,3.567
6.44,4.082
6.45,4.355
6.46,4.328
6.47,3.107
6.48,2.589
6.49,1.2
6.5,0.374
6.51,-1.518
6.52,-2.307
6.53,-3.99
6.54,-4.202
6.55,-4.484
6.56,-4.556
6.57,-3.65
6.58,-2.39
6.59,-1.514
6.6,-0.46
6.61,1.354
6.62,2.393
6.63,3.534
6.64,4.244
6.65,4.064
6.66,3.872
6.67,3.763
6.68,2.522
6.69,0.763
6.7,0.215
6.71,-1.298
6.72,-2.794
6.73,-3.934
6.74,-4.03
6.75,-4.366
6.76,-3.632
6.77,-3.479
6.78,-2.486
6.79,-1.365
6.8,0.276
6.81,1.624
6.82,3.04
6.83,3.597
6.84,4.262
6.85,4.476
6.86,4.577
6.87,4.119
6.88,2.638
6.89,1.396
6.9,0.194
6.91,-1.333
6.92,-2.285
6.93,-4.078
6.94,-4.358
6.95,-4.564
6.96,-4.726
6.97,-3.745
6.98,-2.735
6.99,-1.3
7.0,0.421
7.01,1.474
7.02,2.533
7.03,3.773
7.04,4.69
7.05,4.405
7.06,4.202
7.07,3.93
7.08,2.74
7.09,1.702
7.1,0.146
7.11,-1.066
7.12,-2.755
7.13,-3.496
7.14,-4.186
7.15,-4.659
7.16,-4.527
7.17,-3.327
7.18,-2.593
7.19,-1.508
7.2,0.112
7.21,1.806
7.22,2.205
7.23,3.394
7.24,4.174
7.25,4.987
7.26,4.468
7.27,3.947
7.28,2.471
7.29,1.217
7.3,0.215
7.31,-1.278
7.32,-2.414
7.33,-3.598
7.34,-4.125
7.35,-4.38
7.36,-4.01
7.37,-3.368
7.38,-2.984
7.39,-1.892
7.4,0.306
7.41,1.737
7.42,2.434
7.43,3.215
7.44,4.338
7.45,4.761
7.46,4.752
7.47,3.787
7.48,2.563
7.49,1.173
7.5,0.003
7.51,-1.471
7.52,-2.91
7.53,-3.145
7.54,-3.856
7.55,-4.244
7.56,-4.544
7.57,-3.466
7.58,-2.53
7.59,-1.33
7.6,0.257
7.61,1.489
7.62,2.764
7.63,3.729
7.64,4.289
7.65,3.974
7.66,4.216
7.67,3.412
7.68,2.231
7.69,1.713
7.7,0.33
7.71,-1.158
7.72,-2.692
7.73,-3.417
7.74,-4.395
7.75,-4.571
7.76,-4.678
7.77,-3.669
7.78,-2.76
7.79,-1.849
7.8,-0.149
7.81,1.233
7.82,2.954
7.83,3.722
7.84,4.139
7.85,4.417
7.86,4.144
7.87,3.442
7.88,2.226
7.89,1.204
7.9,-0.336
7.91,-1.853
7.92,-2.667
7.93,-3.693
7.94,-4.876
7.95,-4.679
7.96,-4.179
7.97,-3.523
7.98,-2.534
7.99,-1.525
8.0,-0.354
8.01,0.979
8.02,2.592
8.03,3.599
8.04,4.468
8.05,4.644
8.06,4.118
8.07,3.204
8.08,2.443
8.09,1.326
8.1,-0.166
8.11,-1.647
8.12,-2.69
8.13,-3.871
8.14,-4.537
8.15,-4.518
8.16,-4.471
8.17,-3.666
8.18,-2.659
8.19,-1.753
8.2,-0.193
8.21,1.683
8.22,2.292
8.23,3.054
8.24,3.763
8.25,4.461
8.26,4.247
8.27,3.576
8.28,2.919
8.29,0.698
8.3,0.08
8.31,-1.013
8.32,-2.935
8.33,-3.737
8.34,-4.464
8.35,-4.714
8.36,-4.346
8.37,-3.263
8.38,-2.159
8.39,-1.443
8.4,0.514
8.41,1.442
8.42,3.132
8.43,3.671
8.44,4.371
8.45,4.655
8.46,5.143
8.47,3.927
8.48,2.547
8.49,1.716
8.5,-0.002
8.51,-1.42
8.52,-2.321
8.53,-3.532
8.54,-4.105
8.55,-4.387
8.56,-4.082
8.57,-3.418
8.58,-3.009
8.59,-1.1
8.6,-0.119
8.61,1.16
8.62,2.763
8.63,3.796
8.64,4.244
8.65,4.847
8.66,4.086
8.67,3.682
8.68,2.644
8.69,1.525
8.7,0.217
8.71,-1.494
8.72,-2.315
8.73,-3.475
8.74,-4.603
8.75,-4.84
8.76,-4.133
8.77,-3.546
8.78,-2.522
8.79,-1.249
8.8,0.204
8.81,1.774
8.82,2.512
8.83,3.491
8.84,4.148
8.85,4.712
8.86,4.728
8.87,3.668
8.88,2.152
8.89,1.094
8.9,-0.082
8.91,-1.406
8.92,-2.627
8.93,-3.514
8.94,-4.245
8.95,-4.128
8.96,-4.343
8.97,-3.755
8.98,-2.428
8.99,-1.682
9.0,0.186
9.01,1.5
9.02,2.687
9.03,4.112
9.04,4.193
9.05,5.079
9.06,4.282
9.07,3.375
9.08,2.711
9.09,1.164
9.1,-0.151
9.11,-1.26
9.12,-2.48
9.13,-3.775
9.14,-4.018
9.15,-4.201
9.16,-3.917
9.17,-3.51
9.18,-2.312
9.19,-1.874
9.2,-0.098
9.21,1.149
9.22,2.645
9.23,3.462
9.24,4.197
9.25,4.924
9.26,4.186
9.27,3.687
9.28,2.525
9.29,1.342
9.3,-0.071
9.31,-1.356
9.32,-2.436
9.33,-3.315
9.34,-4.294
9.35,-4.448
9.36,-4.667
9.37,-3.767
9.38,-2.518
9.39,-1.286
9.4,-0.063
9.41,1.493
9.42,2.645
9.43,3.815
9.44,4.223
9.45,4.28
9.46,4.23
9.47,2.771
9.48,2.602
9.49,0.338
9.5,-0.574
9.51,-1.422
9.52,-2.671
9.53,-4.078
9.54,-4.606
9.55,-4.306
9.56,-4.55
9.57,-3.23
9.58,-2.796
9.59,-1.439
9.6,0.255
9.61,1.274
9.62,2.246
9.63,3.465
9.64,4.124
9.65,4.014
9.66,4.072
9.67,3.313
9.68,2.736
9.69,1.261
9.7,-0.206
9.71,-1.55
9.72,-2.72
9.73,-3.614
9.74,-4.654
9.75,-4.882
9.76,-4.122
9.77,-3.858
9.78,-3.11
9.79,-1.386
9.8,0.013
9.81,0.909
9.82,2.608
9.83,3.735
9.84,4.288
9.85,4.578
9.86,3.853
9.87,3.653
9.88,2.504
9.89,1.209
9.9,0.162
9.91,-1.071
9.92,-2.241
9.93,-3.351
9.94,-4.341
9.95,-4.44
9.96,-4.111
9.97,-3.627
9.98,-2.624
9.99,-1.19
10.0,-0.015
10.01,1.214
10.02,2.553
10.03,3.816
10.04,4.303
10.05,4.613
10.06,4.481
10.07,3.586
10.08,2.879
10.09,1.535
10.1,-0.253
10.11,-0.97
10.12,-2.705
10.13,-3.984
10.14,-4.465
10.15,-4.675
10.16,-4.182
10.17,-3.619
10.18,-2.635
10.19,-1.137
10.2,0.188
10.21,1.576
10.22,2.858
10.23,3.909
10.24,3.871
10.25,4.53
10.26,3.859
10.27,3.777
10.28,2.774
10.29,1.785
10.3,0.433
10.31,-1.202
10.32,-2.63
10.33,-3.377
10.34,-4.268
10.35,-4.355
10.36,-3.887
10.37,-3.632
10.38,-2.295
10.39,-1.072
10.4,-0.089
10.41,1.784
10.42,2.97
10.43,3.816
10.44,4.239
10.45,4.434
10.46,4.293
10.47,3.923
10.48,2.552
10.49,1.644
10.5,-0.168
10.51,-1.301
10.52,-2.479
10.53,-2.893
10.54,-4.49
10.55,-4.001
10.56,-4.114
10.57,-3.412
10.58,-2.493
10.59,-1.16
10.6,0.077
10.61,1.866
10.62,2.639
10.63,4.028
10.64,4.219
10.65,4.581
10.66,4.103
10.67,3.841
10.68,3.088
10.69,1.448
10.7,0.023
10.71,-1.602
10.72,-2.64
10.73,-3.982
10.74,-4.456
10.75,-4.397
10.76,-3.909
10.77,-2.903
10.78,-2.762
10.79,-1.007
10.8,0.08
10.81,1.366
10.82,2.761
10.83,3.658
10.84,4.304
10.85,4.388
10.86,3.915
10.87,3.234
10.88,2.782
10.89,1.29
10.9,-0.186
10.91,-1.431
10.92,-2.494
10.93,-3.649
10.94,-4.502
10.95,-4.257
10.96,-3.954
10.97,-3.591
10.98,-2.48
10.99,-1.164
11.0,0.194
11.01,1.451
11.02,2.698
11.03,3.669
11.04,3.9
11.05,4.566
11.06,3.828
11.07,3.325
11.08,2.851
11.09,1.477
11.1,0.245
11.11,-1.588
11.12,-3.065
11.13,-3.836
11.14,-4.392
11.15,-4.62
11.16,-4.138
11.17,-3.874
11.18,-2.702
11.19,-1.784
11.2,-0.035
11.21,1.243
11.22,2.309
11.23,3.432
11.24,4.084
11.25,4.282
11.26,4.573
11.27,3.466
11.28,2.435
11.29,0.718
11.3,-0.371
11.31,-1.603
11.32,-2.961
11.33,-3.438
11.34,-4.462
11.35,-4.317
11.36,-4.402
11.37,-3.766
11.38,-2.8
11.39,-1.519
11.4,0.303
11.41,0.687
11.42,2.024
11.43,3.388
11.44,4.17
11.45,4.563
11.46,4.293
11.47,3.443
11.48,2.803
11.49,1.555
11.5,-0.042
11.51,-1.233
11.52,-2.656
11.53,-3.855
11.54,-4.174
11.55,-4.536
11.56,-4.338
11.57,-3.326
11.58,-3.306
11.59,-1.788
11.6,-0.334
11.61,1.268
11.62,2.555
11.63,3.243
11.64,4.018
11.65,4.275
11.66,4.89
11.67,4.093
11.68,2.55
11.69,1.313
11.7,-0.269
11.71,-1.843
11.72,-2.644
11.73,-3.855
11.74,-4.26
11.75,-4.854
11.76,-4.419
11.77,-3.546
11.78,-2.491
11.79,-1.219
11.8,-0.258
11.81,1.681
11.82,2.527
11.83,3.885
11.84,4.368
11.85,4.252
11.86,4.301
11.87,3.836
11.88,2.906
11.89,1.467
11.9,0.499
11.91,-1.02
11.92,-2.587
11.93,-3.327
11.94,-3.668
11.95,-3.878
11.96,-4.453
11.97,-3.736
11.98,-2.135
11.99,-1.514
12.0,-0.188
12.01,1.413
12.02,2.896
12.03,3.762
12.04,4.265
12.05,4.48
12.06,4.251
12.07,3.571
12.08,3.365
12.09,1.615
12.1,0.371
12.11,-1.364
12.12,-2.543
12.13,-3.671
12.14,-4.796
12.15,-4.699
12.16,-4.589
12.17,-4.061
12.18,-2.804
12.19,-0.921
12.2,0.125
12.21,1.846
12.22,2.878
12.23,3.964
12.24,4.179
12.25,4.752
12.26,4.58
12.27,3.611
12.28,2.896
12.29,1.639
12.3,-0.035
12.31,-1.573
12.32,-2.847
12.33,-3.529
12.34,-4.113
12.35,-4.618
12.36,-4.198
12.37,-3.427
12.38,-2.425
12.39,-0.942
12.4,0.374
12.41,1.19
12.42,3.11
12.43,3.547
12.44,4.575
12.45,4.545
12.46,4.199
12.47,3.206
12.48,2.613
12.49,1.006
12.5,0.242
12.51,-1.017
12.52,-2.856
12.53,-3.582
12.54,-4.484
12.55,-4.685
12.56,-4.12
12.57,-3.689
12.58,-2.255
12.59,-1.561
12.6,0.195
12.61,1.354
12.62,2.778
12.63,3.458
12.64,4.192
12.65,4.391
12.66,3.986
12.67,3.716
12.68,2.713
12.69,1.44
12.7,0.282
12.71,-1.135
12.72,-2.849
12.73,-3.662
12.74,-4.554
12.75,-4.616
12.76,-4.554
12.77,-3.363
12.78,-2.685
12.79,-1.578
12.8,0.163
12.81,0.71
12.82,2.001
12.83,3.697
12.84,4.151
12.85,4.417
12.86,3.802
12.87,3.487
12.88,2.997
12.89,1.447
12.9,-0.107
12.91,-1.65
12.92,-2.894
12.93,-4.323
12.94,-4.365
12.95,-4.437
12.96,-4.822
12.97,-3.953
12.98,-3.08
12.99,-1.776
13.0,-0.129
13.01,0.729
13.02,2.66
13.03,3.693
13.04,4.083
13.05,3.748
13.06,3.902
13.07,3.823
13.08,1.828
13.09,1.185
13.1,-0.411
13.11,-1.301
13.12,-2.922
13.13,-3.644
13.14,-4.238
13.15,-4.137
13.16,-4.422
13.17,-3.633
13.18,-3.098
13.19,-1.17
13.2,-0.262
13.21,1.183
13.22,2.577
13.23,3.193
13.24,4.285
13.25,4.696
13.26,4.312
13.27,3.208
13.28,2.584
13.29,1.552
13.3,-0.488
13.31,-1.672
13.32,-2.433
13.33,-3.575
13.34,-4.173
13.35,-4.026
13.36,-4.148
13.37,-3.455
13.38,-1.941
13.39,-1.412
13.4,-0.162
13.41,1.54
13.42,2.803
13.43,3.562
13.44,4.08
13.45,5.141
13.46,4.43
13.47,3.531
13.48,2.953
13.49,1.447
13.5,0.025
13.51,-1.157
13.52,-2.871
13.53,-3.451
13.54,-3.696
13.55,-4.274
13.56,-4.261
13.57,-3.651
13.58,-2.627
13.59,-1.331
13.6,0.032
13.61,1.749
13.62,2.344
13.63,3.991
13.64,4.322
13.65,4.734
13.66,4.139
13.67,4.116
13.68,3.101
13.69,1.777
13.7,-0.231
13.71,-1.035
13.72,-2.395
13.73,-3.892
13.74,-4.136
13.75,-4.259
13.76,-3.991
13.77,-3.447
13.78,-2.423
13.79,-0.874
13.8,0.454
13.81,0.82
13.82,2.71
13.83,3.743
13.84,3.983
13.85,4.663
13.86,4.729
13.87,3.504
13.88,2.861
13.89,1.291
13.9,-0.041
13.91,-0.898
13.92,-2.66
13.93,-3.408
13.94,-4.634
13.95,-3.925
13.96,-4.024
13.97,-3.585
13.98,-2.404
13.99,-1.65
14.0,0.384
14.01,1.393
14.02,2.673
14.03,3.592
14.04,4.204
14.05,4.738
14.06,4.402
14.07,3.857
14.08,2.691
14.09,1.562
14.1,-0.067
14.11,-0.801
14.12,-3.011
14.13,-3.305
14.14,-3.923
14.15,-4.704
14.16,-3.719
14.17,-3.394
14.18,-2.41
14.19,-1.397
14.2,-0.073
14.21,1.314
14.22,2.713
14.23,3.955
14.24,4.284
14.25,4.226
14.26,4.434
14.27,3.814
14.28,2.747
14.29,1.51
14.3,-0.14
14.31,-1.7
14.32,-2.944
14.33,-4.136
14.34,-4.312
14.35,-4.616
14.36,-4.49
14.37,-4.484
14.38,-3.065
14.39,-1.222
14.4,-0.282
14.41,1.362
14.42,2.175
14.43,3.875
14.44,4.115
14.45,4.441
14.46,4.727
14.47,3.883
14.48,2.43
14.49,1.101
14.5,-0.224
14.51,-1.407
14.52,-2.817
14.53,-3.886
14.54,-4.061
14.55,-4.677
14.56,-3.854
14.57,-3.768
14.58,-2.349
14.59,-1.451
14.6,0.091
14.61,1.06
14.62,2.283
14.63,3.608
14.64,4.38
14.65,4.365
14.66,3.814
14.67,3.158
14.68,2.148
14.69,0.811
14.7,-0.108
14.71,-1.243
14.72,-2.779
14.73,-4.333
14.74,-4.452
14.75,-4.662
14.76,-3.874
14.77,-4.119
14.78,-2.853
14.79,-1.071
14.8,0.01
14.81,1.433
14.82,2.58
14.83,3.633
14.84,4.389
14.85,4.217
14.86,4.424
14.87,3.227
14.88,2.662
14.89,1.375
14.9,-0.209
14.91,-1.446
14.92,-2.845
14.93,-3.948
14.94,-4.402
14.95,-4.804
14.96,-4.222
14.97,-3.945
14.98,-2.478
14.99,-1.692
15.0,-0.142
15.01,-0.15
15.02,0.343
15.03,0.1
15.04,-0.03
15.05,0.153
15.06,-0.493
15.07,0.028
15.08,0.544
15.09,0.083
15.1,0.072
15.11,0.197
15.12,0.289
15.13,-0.429
15.14,-0.345
15.15,0.133
15.16,-0.094
15.17,0.418
15.18,0.015
15.19,-0.385
15.2,-0.214
15.21,-0.581
15.22,0.052
15.23,0.067
15.24,0.012
15.25,0.391
15.26,0.424
15.27,0.085
15.28,-0.403
15.29,0.288
15.3,0.275
15.31,0.215
15.32,0.386
15.33,-0.149
15.34,0.646
15.35,-0.095
15.36,0.334
15.37,-0.274
15.38,-0.084
15.39,0.528
15.4,0.084
15.41,0.36
15.42,0.209
15.43,0.124
15.44,0.49
15.45,0.09
15.46,-0.297
15.47,-0.054
15.48,0.284
15.49,0.243
15.5,-0.249
15.51,-0.04
15.52,-0.007
15.53,0.045
15.54,-0.21
15.55,-0.026
15.56,-0.054
15.57,0.319
15.58,0.325
15.59,0.083
15.6,0.018
15.61,0.147
15.62,-0.096
15.63,-0.183
15.64,-0.135
15.65,-0.063
15.66,-0.2
15.67,0.127
15.68,0.264
15.69,-0.32
15.7,0.079
15.71,0.012
15.72,0.148
15.73,0.054
15.74,-0.312
15.75,-0.269
15.76,0.048
15.77,0.293
15.78,-0.524
15.79,0.111
15.8,0.316
15.81,-0.025
15.82,0.145
15.83,-0.174
15.84,-0.034
15.85,-0.415
15.86,-0.601
15.87,0.215
15.88,-0.273
15.89,-0.146
15.9,-0.384
15.91,-0.395
15.92,-0.092
15.93,-0.236
15.94,0.036
15.95,0.049
15.96,0.011
15.97,-0.014
15.98,0.316
15.99,-0.35
16.0,-0.102
16.01,0.19
16.02,0.219
16.03,-0.457
16.04,-0.183
16.05,0.23
16.06,0.014
16.07,-0.068
16.08,-0.175
16.09,-0.219
16.1,-0.055
16.11,-0.193
16.12,-0.143
16.13,-0.115
16.14,-0.307
16.15,-0.006
16.16,0.587
16.17,-0.587
16.18,-0.064
16.19,-0.336
16.2,-0.003
16.21,-0.137
16.22,0.041
16.23,0.144
16.24,-0.102
16.25,0.133
16.26,-0.736
16.27,0.248
16.28,-0.055
16.29,0.121
16.3,-0.452
16.31,-0.354
16.32,-0.108
16.33,-0.147
16.34,-0.071
16.35,0.132
16.36,-0.579
16.37,0.109
16.38,-0.13
16.39,-0.181
16.4,-0.494
16.41,0.002
16.42,-0.724
